Text;Size
cargo;20
cierta;20
servir;20
media;20
forzoso;20
mirando;20
traje;20
sois;20
venido;20
facilidad;20
moro;20
noticia;20
dejado;20
suelo;19
voy;19
lado;19
duque;19
dineros;19
cabellos;19
hice;19
venganza;19
viese;19
eres;19
labrador;19
gigante;19
asimismo;19
venga;19
venia;19
justo;19
hallaron;19
ventera;19
agravio;19
marido;19
provecho;19
gloria;19
experiencia;19
diera;19
instante;19
pocos;19
llama;19
silencio;19
armado;19
obligado;19
figura;19
discreta;18
consejo;18
vea;18
vosotros;18
llevado;18
suyo;18
esperando;18
amistad;18
ejercicio;18
luz;18
esas;18
quiera;18
movido;18
oyeron;18
rico;18
cualquiera;18
risa;18
correr;18
hiciera;18
andado;18
pasaron;18
acudir;18
cualquier;18
malos;18
dejase;18
subir;18
desdichado;17
miedo;17
loco;17
tiempos;17
amigos;17
presencia;17
veinte;17
di;17
verdaderamente;17
pesadumbre;17
creyendo;17
juicio;17
basta;17
sosiego;17
viniese;17
respuesta;17
honestidad;17
mar;17
silla;17
usar;17
hechos;17
pedir;17
querido;17
pan;17
servido;17
par;17
cristiano;17
consigo;17
seria;17
mostraba;17
llegado;17
decirle;17
quedaba;17
guardar;16
llevan;16
tuve;16
fuerte;16
uso;16
desgracia;16
nuevos;16
calidad;16
fui;16
mesmos;16
diligencia;16
papel;16
disparates;16
real;16
gentil;16
echar;16
solamente;16
parar;16
criado;16
haberle;16
mire;16
amores;16
lanza;16
vuelta;16
pesar;16
comenzaron;16
oro;16
salido;16
pastores;16
licenciado;16
pedro;16
ama;16
asimesmo;16
ruido;16
licencia;16
della;16
ausencia;16
vuestros;16
guerra;16
anda;15
estuviese;15
hacerse;15
diez;15
fuego;15
industria;15
segundo;15
verdadero;15
quitado;15
contar;15
escuderos;15
hidalgo;15
sabia;15
hijos;15
hablando;15
fuerzas;15
dices;15
clara;15
puesta;15
albarda;15
vestido;15
juan;15
secreto;15
obras;15
tuviera;15
responder;15
yerme;15
cama;15
pocas;15
alto;15
horas;15
presteza;15
ventana;14
escuchando;14
dan;14
tuvieron;14
aldea;14
andaban;14
caminos;14
hacienda;14
temeroso;14
barba;14
lleva;14
suya;14
vestidos;14
barbas;14
mula;14
tomado;14
molido;14
gracias;14
promesas;14
vaya;14
vienen;14
acabado;14
lela;14
haberse;14
quise;14
pago;14
acuerdo;14
pagar;14
pude;14
burla;14
damas;14
dama;14
hiciese;14
tomando;14
trabajos;14
conocido;14
grado;14
cumplir;14
san;14
digno;14
ponerme;14
villano;14
bastante;13
guarda;13
papeles;13
llorar;13
conozco;13
podido;13
discreto;13
golpe;13
hallaba;13
puestos;13
barca;13
diga;13
semejante;13
letra;13
pone;13
ingenio;13
llevaban;13
viento;13
empresa;13
leyes;13
letras;13
segura;13
punta;13
acerca;13
cruel;13
volverse;13
veras;13
pusiese;13
general;13
bajel;13
ocho;13
blanco;13
momento;13
traidor;13
dulce;13
negocio;13
ganado;13
moza;13
vivo;13
treinta;13
llegaba;13
ponerse;13
locuras;13
pide;12
belleza;12
riendas;12
hallo;12
servicio;12
fermosa;12
oficio;12
hacerme;12
sobresalto;12
cuerno;12
necedades;12
pudieron;12
alforjas;12
salvo;12
quedan;12
ejemplo;12
escudos;12
pedazos;12
acometer;12
grandeza;12
pasos;12
pendencia;12
falto;12
descubierto;12
extremo;12
matar;12
sepultura;12
satisfecho;12
honrada;12
puerto;12
sabes;12
esos;12
preguntar;12
rica;12
pastora;12
estilo;12
veas;12
cuadrilleros;12
esposo;12
esposa;12
busca;12
conde;12
perjuicio;12
enojo;12
donaire;12
vimos;12
perdido;12
faltaba;12
pasaban;12
paciencia;12
reyes;12
conforme;12
entrambos;12
breves;12
historias;12
duro;12
supiese;12
tratar;12
malas;12
sombra;11
imaginar;11
comedias;11
caminar;11
cadena;11
espejo;11
aliento;11
coche;11
curiosidad;11
sujeto;11
favorecer;11
muchacho;11
oh;11
costa;11
deseaba;11
femando;11
haz;11
doncellas;11
desto;11
